Timestamp,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15
2.8041534423828125,22.5,22.375,22.5,22.5,22.5625,22.625,22.375,22.5,22.5625,22.375,22.5,22.5625,22.4375,22.5,22.5
3.5967838764190674,22.5,22.4375,22.5625,22.5,22.625,22.6875,22.375,22.5,22.5625,22.375,22.4375,22.5625,22.4375,22.5,22.5
4.388638019561768,22.5,22.4375,22.5625,22.5,22.625,22.6875,22.375,22.5,22.625,22.375,22.5,22.5625,22.4375,22.5,22.5625
5.180543422698975,22.5,22.4375,22.5625,22.5625,22.625,22.6875,22.375,22.5,22.625,22.4375,22.5,22.5625,22.4375,22.5,22.5625
5.972092628479004,22.5,22.4375,22.5625,22.5625,22.625,22.6875,22.375,22.5,22.625,22.375,22.5625,22.5625,22.4375,22.5,22.5
6.764577865600586,22.5,22.4375,22.5625,22.5625,22.6875,22.6875,22.375,22.5,22.5625,22.4375,22.5,22.625,22.4375,22.5,22.5625
7.556123971939087,22.5,22.4375,22.5625,22.5625,22.625,22.6875,22.375,22.5,22.625,22.4375,22.5625,22.625,22.4375,22.5625,22.5625
8.348644971847534,22.5,22.4375,22.5625,22.5625,22.6875,22.6875,22.375,22.5,22.625,22.375,22.5625,22.5625,22.4375,22.5,22.5625
9.140789031982422,22.5,22.4375,22.5625,22.5625,22.625,22.6875,22.375,22.5,22.625,22.375,22.5625,22.625,22.4375,22.5,22.5625
9.933107137680054,22.5,22.4375,22.5625,22.5625,22.625,22.6875,22.375,22.5,22.625,22.375,22.5625,22.625,22.4375,22.5625,22.5625
10.72502326965332,22.5,22.4375,22.5625,22.5625,22.625,22.6875,22.4375,22.5,22.625,22.4375,22.5625,22.625,22.4375,22.5625,22.5625
